date,row_id,row_name,total_list_size
01/05/2020,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,796610
01/05/2020,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,660393
01/05/2020,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1896202
01/05/2020,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2607299
01/05/2020,QSL,NHS SOMERSET INTEGRATED CARE BOARD,583846
01/05/2020,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1225510
01/05/2020,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,585679
01/05/2020,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1899980
01/05/2020,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1274593
01/05/2020,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,987593
01/05/2020,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1038585
01/05/2020,QVV,NHS DORSET INTEGRATED CARE BOARD,808579
01/05/2020,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,1713401
01/05/2020,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2589130
01/05/2020,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1022113
01/05/2020,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1103936
01/05/2020,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2670506
01/06/2020,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1786417
01/06/2020,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1467493
01/06/2020,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,803275
01/06/2020,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1239033
01/06/2020,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1038509
01/06/2020,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1546997
01/06/2020,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,3115853
01/06/2020,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1094884
01/06/2020,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1030446
01/06/2020,QJK,NHS DEVON INTEGRATED CARE BOARD,1246443
01/06/2020,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,794478
01/06/2020,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1163796
01/06/2020,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,2021636
01/06/2020,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1924891
01/06/2020,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1589461
01/06/2020,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2262057
01/06/2020,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1683347
01/06/2020,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1066444
01/06/2020,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1158783
01/06/2020,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,801988
01/06/2020,QNX,NHS SUSSEX INTEGRATED CARE BOARD,1790077
01/06/2020,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",508392
01/06/2020,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3089154
01/06/2020,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1755767
01/06/2020,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",960152
01/06/2020,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,796328
01/06/2020,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,660407
01/06/2020,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1895367
01/06/2020,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2608589
01/06/2020,QSL,NHS SOMERSET INTEGRATED CARE BOARD,583893
01/06/2020,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1224492
01/06/2020,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,585743
01/06/2020,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1899890
01/06/2020,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1273333
01/06/2020,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,987366
01/06/2020,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1038280
01/06/2020,QVV,NHS DORSET INTEGRATED CARE BOARD,808273
01/06/2020,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,1712683
01/06/2020,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2588202
01/06/2020,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1020641
01/06/2020,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1104179
01/06/2020,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2670004
01/07/2020,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1786612
01/07/2020,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1467164
01/07/2020,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,803184
01/07/2020,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1239605
01/07/2020,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1039499
01/07/2020,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1549509
01/07/2020,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,3116075
01/07/2020,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1095300
01/07/2020,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1030943
01/07/2020,QJK,NHS DEVON INTEGRATED CARE BOARD,1246531
01/07/2020,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,794528
01/07/2020,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1162970
01/07/2020,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,2022125
01/07/2020,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1926461
01/07/2020,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1590862
01/07/2020,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2263118
01/07/2020,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1684014
01/07/2020,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1066882
01/07/2020,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1159229
01/07/2020,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,802189
01/07/2020,QNX,NHS SUSSEX INTEGRATED CARE BOARD,1790367
01/07/2020,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",508613
01/07/2020,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3090155
01/07/2020,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1756049
01/07/2020,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",960649
01/07/2020,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,796257
01/07/2020,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,660830
01/07/2020,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1895179
01/07/2020,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2610349
01/07/2020,QSL,NHS SOMERSET INTEGRATED CARE BOARD,584122
01/07/2020,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1223827
01/07/2020,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,586093
01/07/2020,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1900299
01/07/2020,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1271864
01/07/2020,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,987900
01/07/2020,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1038089
01/07/2020,QVV,NHS DORSET INTEGRATED CARE BOARD,808048
01/07/2020,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,1713478
01/07/2020,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2588328
01/07/2020,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1020291
01/07/2020,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1104655
01/07/2020,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2670532
01/08/2020,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1787056
01/08/2020,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1466857
01/08/2020,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,803379
01/08/2020,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1240482
01/08/2020,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1040856
01/08/2020,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1549559
01/08/2020,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,3115927
01/08/2020,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1095744
01/08/2020,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1031889
01/08/2020,QJK,NHS DEVON INTEGRATED CARE BOARD,1246971
01/08/2020,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,794728
01/08/2020,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1162076
01/08/2020,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,2020610
01/08/2020,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1927552
01/08/2020,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1592147
01/08/2020,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2264546
01/08/2020,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1683582
01/08/2020,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1067300
01/08/2020,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1159399
01/08/2020,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,802142
01/08/2020,QNX,NHS SUSSEX INTEGRATED CARE BOARD,1790813
01/08/2020,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",508972
01/08/2020,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3090315
01/08/2020,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1756335
01/08/2020,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",960358
01/08/2020,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,796706
01/08/2020,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,661029
01/08/2020,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1895309
01/08/2020,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2612112
01/08/2020,QSL,NHS SOMERSET INTEGRATED CARE BOARD,584273
01/08/2020,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1221829
01/08/2020,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,586553
01/08/2020,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1900336
01/08/2020,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1272238
01/08/2020,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,987433
01/08/2020,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1037653
01/08/2020,QVV,NHS DORSET INTEGRATED CARE BOARD,808040
01/08/2020,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,1713320
01/08/2020,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2588254
01/08/2020,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1020403
01/08/2020,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1105319
01/08/2020,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2671609
01/09/2020,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1787057
01/09/2020,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1466553
01/09/2020,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,803844
01/09/2020,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1241009
01/09/2020,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1041286
01/09/2020,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1549493
01/09/2020,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,3116211
01/09/2020,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1096206
01/09/2020,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1032140
01/09/2020,QJK,NHS DEVON INTEGRATED CARE BOARD,1247143
01/09/2020,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,794897
01/09/2020,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1161091
01/09/2020,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,2017105
01/09/2020,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1928562
01/09/2020,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1592790
01/09/2020,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2264783
01/09/2020,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1680459
01/09/2020,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1067473
01/09/2020,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1159796
01/09/2020,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,802379
01/09/2020,QNX,NHS SUSSEX INTEGRATED CARE BOARD,1789652
01/09/2020,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",509402
01/09/2020,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3090156
01/09/2020,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1757093
01/09/2020,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",960212
01/09/2020,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,796676
01/09/2020,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,661522
01/09/2020,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1894963
01/09/2020,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2611048
01/09/2020,QSL,NHS SOMERSET INTEGRATED CARE BOARD,584680
01/09/2020,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1219933
01/09/2020,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,587175
01/09/2020,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1898782
01/09/2020,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1272987
01/09/2020,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,986973
01/09/2020,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1037684
01/09/2020,QVV,NHS DORSET INTEGRATED CARE BOARD,807905
01/09/2020,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,1712524
01/09/2020,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2587990
01/09/2020,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1020335
01/09/2020,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1106150
01/09/2020,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2672123
01/10/2020,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1789622
01/10/2020,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1470737
01/10/2020,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,803655
01/10/2020,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1240989
01/10/2020,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1041945
01/10/2020,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1549997
01/10/2020,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,3117745
01/10/2020,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1096911
01/10/2020,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1032187
01/10/2020,QJK,NHS DEVON INTEGRATED CARE BOARD,1250614
01/10/2020,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,795076
01/10/2020,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1163395
01/10/2020,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,2016421
01/10/2020,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1929550
01/10/2020,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1592252
01/10/2020,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2265329
01/10/2020,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1680405
01/10/2020,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1069649
01/10/2020,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1160846
01/10/2020,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,802770
01/10/2020,QNX,NHS SUSSEX INTEGRATED CARE BOARD,1791095
01/10/2020,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",509615
01/10/2020,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3092214
01/10/2020,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1757515
01/10/2020,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",960573
01/10/2020,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,797759
01/10/2020,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,661963
01/10/2020,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,1895933
01/10/2020,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,2615650
01/10/2020,QSL,NHS SOMERSET INTEGRATED CARE BOARD,584794
01/10/2020,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,1224123
01/10/2020,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,588072
01/10/2020,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1902508
01/10/2020,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,1273204
01/10/2020,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,987425
01/10/2020,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1037921
01/10/2020,QVV,NHS DORSET INTEGRATED CARE BOARD,808845
01/10/2020,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,1711750
01/10/2020,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2591906
01/10/2020,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1025176
01/10/2020,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1107131
01/10/2020,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,2673922
01/11/2020,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1791144
01/11/2020,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1471973
01/11/2020,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,803961
01/11/2020,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1241029
01/11/2020,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",1043762
01/11/2020,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,1551044
01/11/2020,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,3122939
01/11/2020,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,1097389
01/11/2020,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,1032956
01/11/2020,QJK,NHS DEVON INTEGRATED CARE BOARD,1251215
01/11/2020,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,795885
01/11/2020,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",1165331
01/11/2020,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,2016529
01/11/2020,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,1930983
01/11/2020,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1592789
01/11/2020,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,2267347
01/11/2020,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,1683357
01/11/2020,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,1070886
01/11/2020,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1161351
01/11/2020,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,802800
01/11/2020,QNX,NHS SUSSEX INTEGRATED CARE BOARD,1792267
01/11/2020,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",510245
01/11/2020,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,3095088
01/11/2020,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,1758925
01/11/2020,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",961791
01/11/2020,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,798022
01/11/2020,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,662647
